0x02A808: .?AVtype_info@@
0x02A868: .?AVException@Base@@
0x02A888: .?AV?$CComObject@VAlbumDownloadWizard@@@ATL@@
0x02A8C0: .?AV?$CComCoClass@VAlbumDownloadWizard@@$1?GUID_NULL@@3U_GUID@@B@ATL@@
0x02A910: .?AVCComObjectRootBase@ATL@@
0x02A938: .?AV?$CComObjectRootEx@VCComMultiThreadModel@ATL@@@ATL@@
0x02A97C: .?AVAlbumDownloadWizard@@
0x02AA30: .?AVCAppModule@WTL@@
0x02B20C: .?AVCComModule@ATL@@
0x02B22C: .?AV?$CAtlModuleT@VCComModule@ATL@@@ATL@@
0x02B260: .?AVCAtlModule@ATL@@
0x02B2A0: .?AVCRegObject@ATL@@
0x02B2F8: .?AV?$CComObject@V?$PhotoPickerClientCallbackProxy@VAlbumDownloadWizard@@@@@ATL@@
0x02B358: .?AV?$HandlerProxyBase@VAlbumDownloadWizard@@V?$CComObjectRootEx@VCComMultiThreadModel@ATL@@@ATL@@@Base@@
0x02B3D0: .?AV?$PhotoPickerClientCallbackProxy@VAlbumDownloadWizard@@@@
0x02B480: .?AVBitmap@Gdiplus@@
0x02B4A0: .?AVImage@Gdiplus@@
0x02B4BC: .?AVGdiplusBase@Gdiplus@@
0x02B4E0: .?AVThread@Base@@
0x02B4FC: .?AVPrivateAutoPerfTrace@WPP@@
0x02B524: .?AVPhotoPickerClientWorker@@
0x02B54C: .?AV?$CWindowImplRoot@VCWindow@ATL@@@ATL@@
0x02B580: .?AVCWindow@ATL@@
0x02B59C: .?AVCMessageMap@ATL@@
0x02B5C0: .?AV?$CWindowImplBaseT@VCWindow@ATL@@V?$CWinTraits@$0FGAAAAAA@$0A@@2@@ATL@@
0x02B618: .?AV?$CWindowImpl@VPhotoPickerClientWorker@@VCWindow@ATL@@V?$CWinTraits@$0FGAAAAAA@$0A@@3@@ATL@@
0x02B684: .?AVDownloadWorker@@
0x02B6A4: .?AVPersonTagSerializer@CodecUtil@@
0x02B6D0: .?AV?$XmpSerializerBase@V?$CAtlArray@UPersonTagRegionData@CodecUtil@@V?$CElementTraits@UPersonTagRegionData@CodecUtil@@@ATL@@@ATL@@@CodecUtil@@
0x02B768: .?AVSimpleCodecEncDecCallbackCore@CodecUtil@@
0x02B7D8: .?AVSmartBackupRead@CodecUtil@@
0x02B800: .?AVFindStreamHelper@CodecUtil@@
0x02B850: .?AVFile@Base@@
0x02B868: .?AVSafeSave@CodecUtil@@
0x02B88C: .?AVTempFile@Base@@
0x02B8A8: .?AVRefCountBaseMultiThreaded@Base@@
0x02B964: .?AVCAtlException@ATL@@
0x02B9B8: .?AVSqmStartupWrapper@Sqm@@
0x02B9E0: .?AV?$RefCountBaseSingleton@VLibraryManager@Win7Library@@@Base@@
0x02BA2C: .?AVLibraryManager@Win7Library@@
0x02BA58: .?AV?$SystemCursorT@$0HPAC@@UIBase@@
0x02BA88: .?AVSetAndRestoreCursor@UIBase@@
0x02BB00: .?AVInvariantBase@@
0x02BB1C: .?AVAlbumDownloader@@
0x02BB40: .?AV?$CComObject@VDirectoryCleanup@AlbumContentWriterPrivate@@@ATL@@
0x02BB90: .?AVDirectoryCleanup@AlbumContentWriterPrivate@@
0x02BBD0: .?AV?$CComObject@VSimplePropertyBag@AlbumContentWriterPrivate@@@ATL@@
0x02BC20: .?AVSimplePropertyBag@AlbumContentWriterPrivate@@
0x02BC5C: .?AVItemWriter@AlbumContentWriterPrivate@@
0x02BD14: .?AV?$CComObject@VSupportedFileTypes@@@ATL@@
0x02BD50: .?AV?$CComCoClass@VSupportedFileTypes@@$1?GUID_NULL@@3U_GUID@@B@ATL@@
0x02BDA0: .?AVSupportedFileTypes@@
